,f1-score,precision,recall,support
0,0.7926773455377575,0.8391472868217055,0.751084128360798,2306.0
1,0.6956249019915322,0.5847614025837068,0.858359133126935,2584.0
2,0.32479291080716627,0.2905894519131334,0.3681222707423581,2290.0
3,0.3656827351879379,0.36576040781648256,0.36560509554140125,2355.0
4,0.26003534460994693,0.2964881980426022,0.23156474820143885,2224.0
5,0.18502778685845048,0.29205366357069146,0.1354066985645933,2090.0
6,0.15685058896466214,0.2762008733624454,0.10952380952380952,2310.0
7,0.34312647289866455,0.2782874617737003,0.4473576403113478,2441.0
8,0.4933809623870561,0.4609344326658814,0.530741410488246,2212.0
9,0.41501314845804443,0.45804749340369394,0.3793706293706294,2288.0
micro avg,0.42593073593073594,0.42593073593073594,0.42593073593073594,23100.0
macro avg,0.4032212197701218,0.41422706719540425,0.4177135564231557,23100.0
weighted avg,0.4084934782227298,0.4167799984375311,0.42593073593073594,23100.0
