,f1-score,precision,recall,support
0,0.8146542380229786,0.8144776766363242,0.8148308759757156,2306.0
1,0.7247289261979714,0.6611359285258456,0.8018575851393189,2584.0
2,0.28557013118062563,0.33811230585424135,0.24716157205240175,2290.0
3,0.3776892430278884,0.3557223264540338,0.40254777070063696,2355.0
4,0.2807765151515152,0.2965,0.266636690647482,2224.0
5,0.1716678297278437,0.3170103092783505,0.11770334928229666,2090.0
6,0.1978266926720535,0.27756059421422985,0.15367965367965367,2310.0
7,0.38868053187862256,0.33284671532846716,0.4670217124129455,2441.0
8,0.5069829730246795,0.439469320066335,0.599005424954792,2212.0
9,0.4646978290631723,0.42053097345132745,0.5192307692307693,2288.0
micro avg,0.4464069264069264,0.4464069264069264,0.4464069264069264,23100.0
macro avg,0.42132749099473504,0.4253366149809155,0.4389675404076012,23100.0
weighted avg,0.42720184101100916,0.42893750542105596,0.4464069264069264,23100.0
