,f1-score,precision,recall,support
0,0.7892483349191247,0.8740779768177028,0.7194275802254987,2306.0
1,0.6811418159732766,0.5604697651174413,0.8680340557275542,2584.0
2,0.2994154364410978,0.19364347046007946,0.659825327510917,2290.0
3,0.23012048192771084,0.39585492227979274,0.162208067940552,2355.0
4,0.17805486284289276,0.19988801791713326,0.16052158273381295,2224.0
5,0.2712334191249257,0.23134076325565686,0.3277511961722488,2090.0
6,0.0,0.0,0.0,2310.0
7,0.0,0.0,0.0,2441.0
8,0.4247996228194248,0.4438423645320197,0.4073236889692586,2212.0
9,0.3702764392594471,0.44108761329305135,0.31905594405594406,2288.0
micro avg,0.3665800865800865,0.36658008658008656,0.36658008658008656,23100.0
macro avg,0.32442904133079004,0.33402048936728773,0.3624147443335786,23100.0
weighted avg,0.3271598838452031,0.335870151235452,0.36658008658008656,23100.0
