,f1-score,precision,recall,support
0,0.4668345927791772,0.3809262811729241,0.6027753686036427,2306.0
1,0.5976623010843544,0.46978082798317466,0.8212074303405573,2584.0
2,0.25869702719797594,0.20277640059494298,0.3572052401746725,2290.0
3,0.22587268993839835,0.36527514231499053,0.16348195329087048,2355.0
4,0.07675597393193338,0.1970260223048327,0.047661870503597124,2224.0
5,0.0019102196752626554,0.5,0.0009569377990430622,2090.0
6,0.02180936995153473,0.16265060240963855,0.011688311688311689,2310.0
7,0.2534775888717157,0.1848581626902123,0.403113478082753,2441.0
8,0.27909738717339666,0.40657439446366783,0.21247739602169982,2212.0
9,0.19931271477663232,0.1854080481383979,0.21547202797202797,2288.0
micro avg,0.29424242424242425,0.29424242424242425,0.29424242424242425,23100.0
macro avg,0.23814298653803814,0.3055275882072782,0.2836040014477176,23100.0
weighted avg,0.24512698398464755,0.3052213981125895,0.29424242424242425,23100.0
