,f1-score,precision,recall,support
0,0.0,0.0,0.0,2280.0
1,0.1323643111179836,0.10985626283367557,0.16647218980941267,2571.0
2,0.17039331896551727,0.10098187914105532,0.5450236966824644,2321.0
3,0.0,0.0,0.0,2334.0
4,0.0,0.0,0.0,2228.0
5,0.0,0.0,0.0,2111.0
6,0.0,0.0,0.0,2250.0
7,0.1507060900264784,0.10229144825520443,0.2861332216170926,2387.0
8,0.0,0.0,0.0,2298.0
9,0.0,0.0,0.0,2320.0
micro avg,0.10285714285714286,0.10285714285714286,0.10285714285714286,23100.0
macro avg,0.04534637201099793,0.03131295902299353,0.09976291081089697,23100.0
weighted avg,0.04742541013404786,0.03294325022584166,0.10285714285714286,23100.0
