,f1-score,precision,recall,support
0,0.1568291987453664,0.10010921004732436,0.3618421052631579,2280.0
1,0.17213887698242603,0.11040246316252474,0.39050952936600547,2571.0
2,0.005879882402351953,0.11666666666666667,0.003015941404566997,2321.0
3,0.028953229398663696,0.10833333333333334,0.016709511568123392,2334.0
4,0.0008952551477170994,0.16666666666666666,0.0004488330341113106,2228.0
5,0.07795772714795499,0.0926892950391645,0.06726669824727617,2111.0
6,0.060880048221820374,0.0945692883895131,0.04488888888888889,2250.0
7,0.03636363636363636,0.12200956937799043,0.0213657310431504,2387.0
8,0.0,0.0,0.0,2298.0
9,0.09279240397065171,0.09291270527225583,0.09267241379310345,2320.0
micro avg,0.10324675324675325,0.10324675324675325,0.10324675324675325,23100.0
macro avg,0.06326902583805885,0.10043591979554396,0.09987196526083839,23100.0
weighted avg,0.06437166868065139,0.10053258516910801,0.10324675324675325,23100.0
