,f1-score,precision,recall,support
0,0.07098765432098765,0.08582089552238806,0.060526315789473685,2280.0
1,0.15718449746302496,0.1087866108786611,0.28315830416180476,2571.0
2,0.14718519334581912,0.09887507400828893,0.2878069797501077,2321.0
3,0.0,0.0,0.0,2334.0
4,0.0,0.0,0.0,2228.0
5,0.0,0.0,0.0,2111.0
6,0.0,0.0,0.0,2250.0
7,0.1600997028089349,0.10380407757334659,0.3498114788437369,2387.0
8,0.0,0.0,0.0,2298.0
9,0.0,0.0,0.0,2320.0
micro avg,0.10255411255411255,0.10255411255411255,0.10255411255411255,23100.0
macro avg,0.05354570479387667,0.03972866579826846,0.09813030785451231,23100.0
weighted avg,0.055833247583976744,0.0412394544719004,0.10255411255411255,23100.0
