,f1-score,precision,recall,support
0,0.7919675090252708,0.832937826293308,0.7548387096774194,2325.0
1,0.900352570050102,0.8670478913509649,0.936318023928985,2591.0
2,0.41431750741839757,0.35721138471378316,0.4931567328918322,2265.0
3,0.3730124623979373,0.36920459378987663,0.3768996960486322,2303.0
4,0.29627714581178904,0.3628879037365421,0.2503276539973788,2289.0
5,0.20745216515609263,0.3212058212058212,0.15319781854238967,2017.0
6,0.20748020748020748,0.27496382054992763,0.16659359929855327,2281.0
7,0.46663707649060515,0.36837187572996966,0.6364003228410008,2478.0
8,0.49586776859504134,0.48121570282819753,0.5114401076716016,2229.0
9,0.4827586206896552,0.5027985074626866,0.46425495262704564,2322.0
micro avg,0.48584415584415586,0.48584415584415586,0.48584415584415586,23100.0
macro avg,0.4636123033115099,0.4737845327661077,0.4743427617524839,23100.0
weighted avg,0.47290337787088793,0.48056848355791526,0.48584415584415586,23100.0
