,f1-score,precision,recall,support
0,0.8233532934131735,0.8188005104210974,0.8279569892473119,2325.0
1,0.9031890660592254,0.8886813597310422,0.9181783095329988,2591.0
2,0.35689045936395764,0.35704816615112683,0.35673289183222956,2265.0
3,0.3463274517849815,0.32827693504472966,0.3664785062961355,2303.0
4,0.3110700254217703,0.33022571148184493,0.29401485364788116,2289.0
5,0.2249705535924617,0.27701232777374907,0.1893901834407536,2017.0
6,0.22205663189269745,0.25616045845272206,0.19596668128014028,2281.0
7,0.4613127979464613,0.4227150537634409,0.5076674737691687,2478.0
8,0.5130561938583664,0.4800625488663018,0.5509196949304621,2229.0
9,0.46874999999999994,0.44846577498033047,0.4909560723514212,2322.0
micro avg,0.4798268398268398,0.4798268398268398,0.4798268398268398,23100.0
macro avg,0.4630976473333096,0.4607448846666385,0.4698261656328503,23100.0
weighted avg,0.47220334332556524,0.46878042623886884,0.4798268398268398,23100.0
