,f1-score,precision,recall,support
0,0.5716837874050916,0.5945192754296331,0.5505376344086022,2325.0
1,0.9012512030798845,0.8990015360983102,0.903512157468159,2591.0
2,0.0,0.0,0.0,2265.0
3,0.0,0.0,0.0,2303.0
4,0.298909671128446,0.1875,0.7365661861074705,2289.0
5,0.0716582452916858,0.4875,0.03867129400099157,2017.0
6,0.0,0.0,0.0,2281.0
7,0.0,0.0,0.0,2478.0
8,0.31507333451139774,0.19617119595114973,0.7999102736653207,2229.0
9,0.03300330033003301,0.39215686274509803,0.017226528854435832,2322.0
micro avg,0.31203463203463205,0.31203463203463205,0.31203463203463205,23100.0
macro avg,0.21915795417465392,0.2756848870224191,0.304642407450498,23100.0
weighted avg,0.22822414358681406,0.28016879335384637,0.31203463203463205,23100.0
