,f1-score,precision,recall,support
0,0.5194057004244997,0.4010770311402482,0.7367741935483871,2325.0
1,0.8976787372330548,0.8650680028632785,0.9328444615978386,2591.0
2,0.18634146341463417,0.20817438692098092,0.1686534216335541,2265.0
3,0.28196106028618345,0.3066326530612245,0.2609639600521059,2303.0
4,0.11056338028169015,0.2849364791288566,0.06858890345128878,2289.0
5,0.1364522417153996,0.19792648444863337,0.10411502231036192,2017.0
6,0.14648489708634055,0.18767123287671234,0.12012275317843052,2281.0
7,0.3572009764035801,0.2689950980392157,0.5314769975786925,2478.0
8,0.19820282413350448,0.23169267707082833,0.1731718259309107,2229.0
9,0.20413961038961037,0.19301611665387566,0.21662360034453057,2322.0
micro avg,0.3445887445887446,0.3445887445887446,0.3445887445887446,23100.0
macro avg,0.30384308913684976,0.31451901622038536,0.33133351396261007,23100.0
weighted avg,0.3146454410058898,0.3230431573267893,0.3445887445887446,23100.0
