,precision,recall,f1-score,support
0,0.22937529804482595,0.5,0.314481856815953,962.0
1,0.39921294271972013,0.8353156450137237,0.5402366863905326,1093.0
2,0.13513513513513514,0.1053740779768177,0.11841326228537596,949.0
3,0.14373464373464373,0.11132254995242626,0.1254691689008043,1051.0
4,0.16348773841961853,0.12036108324974924,0.1386481802426343,997.0
5,0.1450381679389313,0.04029692470837752,0.06307053941908715,943.0
6,0.12872628726287264,0.09557344064386318,0.10969976905311779,994.0
7,0.18743961352657004,0.18889970788704966,0.18816682832201748,1027.0
8,0.13438735177865613,0.06882591093117409,0.09103078982597056,988.0
9,0.15374841168996187,0.1214859437751004,0.1357263039820527,996.0
micro avg,0.2247,0.2247,0.22470000000000004,10000.0
macro avg,0.18202855902509354,0.21874552841382816,0.18249433852375457,10000.0
weighted avg,0.18424379387224996,0.2247,0.18623710035191665,10000.0
