,precision,recall,f1-score,support
0,0.3302752293577982,0.18711018711018712,0.23888520238885202,962.0
1,0.3923556942277691,0.9204025617566332,0.5501777413180202,1093.0
2,0.1607843137254902,0.04320337197049526,0.0681063122923588,949.0
3,0.20439189189189189,0.11512844909609896,0.14729153986609858,1051.0
4,0.22580645161290322,0.007021063189568706,0.013618677042801557,997.0
5,0.0,0.0,0.0,943.0
6,0.25,0.001006036217303823,0.0020040080160320644,994.0
7,0.23300970873786409,0.04673807205452775,0.07785888077858881,1027.0
8,0.12403644008409251,0.7165991902834008,0.2114695340501792,988.0
9,0.24468085106382978,0.023092369477911646,0.04220183486238532,996.0
micro avg,0.2135,0.2135,0.2135,10000.0
macro avg,0.21653405807016393,0.20603013011561275,0.13516137306153167,10000.0
weighted avg,0.21931498701315308,0.2135,0.13970839374271224,10000.0
